price,name,address,ward,line_station,line,station,bus_time,walk_time,area,balcony,floor_plan,age,renovation,reform
1380万円,カーサ第１宇喜田　１号棟,東京都江戸川区中葛西１-31-1,江戸川区,東京メトロ東西線「葛西」徒歩8分,東京メトロ東西線,葛西,0,8,24.3m2（壁芯）,4.05m2,ワンルーム,1976年2月,1,0
1380万円,【充実した周辺環境♪】セザール第二五反野,東京都足立区一ツ家３,足立区,つくばエクスプレス「六町」徒歩16分,つくばエクスプレス,六町,0,16,47.1m2（壁芯）,2.34m2,2LDK,1988年8月,0,0
1690万円,パシフィックパレス金町,東京都葛飾区東金町７-25-8,葛飾区,ＪＲ常磐線「金町」徒歩22分,ＪＲ常磐線,金町,0,22,60.95m2（壁芯）,7.15m2,2LDK,1988年4月,0,1
1780万円,北斗スターマンション亀戸,東京都江東区亀戸６-５７－７,江東区,ＪＲ総武線「亀戸」徒歩1分,ＪＲ総武線,亀戸,0,1,27.95m2（壁芯）,5.2m2,1K,1976年5月,1,0
1790万円,三昌北小岩ハイツ,東京都江戸川区北小岩６,江戸川区,京成本線「京成小岩」徒歩1分,京成本線,京成小岩,0,1,36.45m2（11.02坪）（壁芯）,4.4m2,1LDK,1976年10月,1,0
1880万円,宇喜田カメリア,東京都江戸川区中葛西４,江戸川区,東京メトロ東西線「葛西」徒歩10分,東京メトロ東西線,葛西,0,10,40.7m2（壁芯）,6.6m2,2DK,1976年4月,0,0
1980万円,門前仲町ダイヤマンション,東京都江東区富岡１,江東区,東京メトロ東西線「門前仲町」徒歩3分,東京メトロ東西線,門前仲町,0,3,29.16m2（8.82坪）（壁芯）,3.6m2,1DK,1972年10月,0,1
1998万円,グリーンパーク綾瀬公園通り,東京都足立区綾瀬６,足立区,東京メトロ千代田線「綾瀬」徒歩12分,東京メトロ千代田線,綾瀬,0,12,40.56m2（壁芯）,7.8m2,1LDK,1986年12月,0,0
2078万円,足立東和ダイヤモンドマンション　,東京都足立区東和５,足立区,東京メトロ千代田線「北綾瀬」徒歩8分,東京メトロ千代田線,北綾瀬,0,8,45.36m2,5.78m2,2DK,1974年6月,0,0
2080万円,グリーンパーク水元４リバーサイド,東京都葛飾区南水元２-4-3,葛飾区,ＪＲ常磐線「亀有」バス10分停歩1分,ＪＲ常磐線,亀有,10,,50.03m2（壁芯）,11.15m2,2LDK,1987年9月,0,1
2080万円,三の輪フラワーマンション,東京都台東区日本堤２-３１－２,台東区,東京メトロ日比谷線「南千住」徒歩7分,東京メトロ日比谷線,南千住,0,7,36.66m2（壁芯）,5.07m2,ワンルーム+S（納戸）,1980年7月,1,0
2149万円,エステート花畑第二番号棟　Ⅲ,東京都足立区花畑６,足立区,東武伊勢崎線「谷塚」徒歩23分,東武伊勢崎線,谷塚,0,23,79.29m2（壁芯）,10.84m2,3LDK,1982年10月,0,1
2180万円,サンクレスト浅草,東京都台東区浅草６,台東区,つくばエクスプレス「浅草」徒歩13分,つくばエクスプレス,浅草,0,13,42.54m2（壁芯）,6.71m2,1LDK,1981年3月,1,0
2250万円,鶯谷上原ハイツ,東京都台東区根岸３,台東区,東京メトロ日比谷線「入谷」徒歩6分,東京メトロ日比谷線,入谷,0,6,48.47m2（登記）,8.31m2,2LDK,1975年3月,0,0
2298万円,メイゾン向島,東京都墨田区向島２,墨田区,京成押上線「押上」徒歩12分,京成押上線,押上,0,12,35.5m2（壁芯）,2.87m2,1LDK,1973年3月,0,1
2299万円,ネオコーポ亀有,東京都足立区中川４,足立区,ＪＲ常磐線「亀有」徒歩14分,ＪＲ常磐線,亀有,0,14,61.82m2（壁芯）,7.84m2,3LDK,1977年1月,0,0
2390万円,セザール新小岩　最上階南西角住戸　新規リノベーション…,東京都葛飾区東新小岩３-13-9,葛飾区,ＪＲ総武線「新小岩」徒歩10分,ＪＲ総武線,新小岩,0,10,66.04m2,6.45m2,3LDK,1988年10月,1,0
2480万円,セザール立石,東京都葛飾区立石７,葛飾区,京成本線「青砥」徒歩7分,京成本線,青砥,0,7,43.45m2,6.6m2,2LDK,1988年5月,0,0
